"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04151","mmu04151","PI3K-Akt signaling pathway","2/11","355/8657",0.0722219893061449,0.20674491063086,0.171810175039496,"14175/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04151/14175/17869"")"
"mmu05217","mmu05217","Basal cell carcinoma","1/11","63/8657",0.0772437253893566,0.20674491063086,0.171810175039496,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05217/12159"")"
"mmu05230","mmu05230","Central carbon metabolism in cancer","1/11","67/8657",0.0819598589356707,0.20674491063086,0.171810175039496,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05230/17869"")"
"mmu05221","mmu05221","Acute myeloid leukemia","1/11","70/8657",0.0854825672871542,0.20674491063086,0.171810175039496,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05221/17869"")"
"mmu05218","mmu05218","Melanoma","1/11","72/8657",0.0878242078054365,0.20674491063086,0.171810175039496,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05218/14175"")"
"mmu05220","mmu05220","Chronic myeloid leukemia","1/11","76/8657",0.0924911442295951,0.20674491063086,0.171810175039496,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05220/17869"")"
"mmu04012","mmu04012","ErbB signaling pathway","1/11","84/8657",0.101759957843394,0.210790998385026,0.175172574835201,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04012/17869"")"
"mmu05210","mmu05210","Colorectal cancer","1/11","88/8657",0.106362016677564,0.210790998385026,0.175172574835201,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05210/17869"")"
"mmu05222","mmu05222","Small cell lung cancer","1/11","92/8657",0.110942630728961,0.210790998385026,0.175172574835201,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05222/17869"")"
"mmu04110","mmu04110","Cell cycle","1/11","123/8657",0.145725130413057,0.26369309312839,0.219135534455725,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04110/17869"")"
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","1/11","144/8657",0.168579623133143,0.277276317366929,0.230423532437891,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05418/12159"")"
"mmu05160","mmu05160","Hepatitis C","1/11","160/8657",0.185617917832132,0.277276317366929,0.230423532437891,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05160/17869"")"
"mmu04310","mmu04310","Wnt signaling pathway","1/11","162/8657",0.187725233565163,0.277276317366929,0.230423532437891,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04310/17869"")"
"mmu05161","mmu05161","Hepatitis B","1/11","162/8657",0.187725233565163,0.277276317366929,0.230423532437891,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05161/17869"")"
"mmu04630","mmu04630","JAK-STAT signaling pathway","1/11","165/8657",0.190876913469842,0.277276317366929,0.230423532437891,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04630/17869"")"
"mmu05225","mmu05225","Hepatocellular carcinoma","1/11","172/8657",0.198187646163928,0.277276317366929,0.230423532437891,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05225/17869"")"
"mmu05202","mmu05202","Transcriptional misregulation in cancer","1/11","183/8657",0.209554686027073,0.277276317366929,0.230423532437891,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05202/17869"")"
"mmu04218","mmu04218","Cellular senescence","1/11","185/8657",0.21160561062213,0.277276317366929,0.230423532437891,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04218/17869"")"
"mmu04015","mmu04015","Rap1 signaling pathway","1/11","214/8657",0.240805423955434,0.288304209643935,0.239587985853686,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04015/14175"")"
"mmu04810","mmu04810","Regulation of actin cytoskeleton","1/11","216/8657",0.242782492331735,0.288304209643935,0.239587985853686,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04810/14175"")"
"mmu05167","mmu05167","Kaposi sarcoma-associated herpesvirus infection","1/11","216/8657",0.242782492331735,0.288304209643935,0.239587985853686,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05167/17869"")"
"mmu05169","mmu05169","Epstein-Barr virus infection","1/11","229/8657",0.255519766189916,0.288835021793485,0.240029103983506,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05169/17869"")"
"mmu04014","mmu04014","Ras signaling pathway","1/11","232/8657",0.258431335288908,0.288835021793485,0.240029103983506,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04014/14175"")"
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","1/11","246/8657",0.271882272470068,0.295186467253216,0.245307313506828,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05166/17869"")"
"mmu05163","mmu05163","Human cytomegalovirus infection","1/11","255/8657",0.280411777006627,0.29599020906255,0.245975242988269,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05163/17869"")"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction","1/11","296/8657",0.318130754279612,0.32438788362502,0.269574418524947,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04060/12159"")"
"mmu05206","mmu05206","MicroRNAs in cancer","1/11","303/8657",0.32438788362502,0.32438788362502,0.269574418524947,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05206/17869"")"
